x,y,z,pitch,yaw,ok,err
0.25,-0.2,-0.06,0.0,-0.6,0,0.6772461664780709
0.25,-0.2,-0.06,0.0,-0.3,0,0.3939086830565188
0.25,-0.2,-0.06,0.0,0.0,0,0.28447507105170466
0.25,-0.2,-0.06,0.0,0.3,0,0.003053585520651779
0.25,-0.2,-0.06,0.0,0.6,0,0.06671832533378093
0.25,-0.2,-0.06,0.225,-0.6,0,0.6955190133489568
0.25,-0.2,-0.06,0.225,-0.3,0,0.4950119742717288
0.25,-0.2,-0.06,0.225,0.0,0,0.3836150922679494
0.25,-0.2,-0.06,0.225,0.3,0,0.4035406951230413
0.25,-0.2,-0.06,0.225,0.6,1,6.39661191622044e-05
0.25,-0.2,-0.06,0.45,-0.6,0,0.2416516522490207
0.25,-0.2,-0.06,0.45,-0.3,1,5.896548035265976e-05
0.25,-0.2,-0.06,0.45,0.0,1,8.749823854027488e-05
0.25,-0.2,-0.06,0.45,0.3,1,9.330772591781243e-05
0.25,-0.2,-0.06,0.45,0.6,1,8.060567974570556e-05
0.25,-0.2,-0.06,0.675,-0.6,1,7.766320904226468e-05
0.25,-0.2,-0.06,0.675,-0.3,1,6.993068449733889e-05
0.25,-0.2,-0.06,0.675,0.0,1,8.322101310878777e-05
0.25,-0.2,-0.06,0.675,0.3,1,9.73933086326024e-05
0.25,-0.2,-0.06,0.675,0.6,1,9.86099063721061e-05
0.25,-0.2,-0.06,0.9,-0.6,1,7.724902612401565e-05
0.25,-0.2,-0.06,0.9,-0.3,1,7.685098132212535e-05
0.25,-0.2,-0.06,0.9,0.0,1,5.008043744616665e-05
0.25,-0.2,-0.06,0.9,0.3,1,9.230322300817069e-05
0.25,-0.2,-0.06,0.9,0.6,1,9.010034532531508e-05
0.25,-0.2,-0.06,1.2,-0.6,1,9.151259256306153e-05
0.25,-0.2,-0.06,1.2,-0.3,1,5.4387427656357924e-05
0.25,-0.2,-0.06,1.2,0.0,1,7.784888643872851e-05
0.25,-0.2,-0.06,1.2,0.3,1,9.99431865555865e-05
0.25,-0.2,-0.06,1.2,0.6,1,7.405912851574425e-05
0.25,-0.2,-0.06,1.57,-0.6,1,7.014041768469995e-05
0.25,-0.2,-0.06,1.57,-0.3,1,7.024831823540615e-05
0.25,-0.2,-0.06,1.57,0.0,1,7.901404481054923e-05
0.25,-0.2,-0.06,1.57,0.3,1,9.652621915707071e-05
0.25,-0.2,-0.06,1.57,0.6,1,5.7296075237965247e-05
0.25,-0.2,-0.02,0.0,-0.6,0,0.6331185095228447
0.25,-0.2,-0.02,0.0,-0.3,0,0.36376454487068816
0.25,-0.2,-0.02,0.0,0.0,0,0.2585377496848583
0.25,-0.2,-0.02,0.0,0.3,0,0.0026368070067111656
0.25,-0.2,-0.02,0.0,0.6,0,0.061185164182115996
0.25,-0.2,-0.02,0.225,-0.6,0,0.309819539147667
0.25,-0.2,-0.02,0.225,-0.3,0,0.4758883984532118
0.25,-0.2,-0.02,0.225,0.0,0,0.3394517222615832
0.25,-0.2,-0.02,0.225,0.3,1,7.680253671166043e-05
0.25,-0.2,-0.02,0.225,0.6,1,5.176283040265982e-05
0.25,-0.2,-0.02,0.45,-0.6,0,0.048767154513289605
0.25,-0.2,-0.02,0.45,-0.3,1,8.918952733733825e-05
0.25,-0.2,-0.02,0.45,0.0,1,6.164529969587227e-05
0.25,-0.2,-0.02,0.45,0.3,1,5.539112075334378e-05
0.25,-0.2,-0.02,0.45,0.6,1,9.137263212963525e-05
0.25,-0.2,-0.02,0.675,-0.6,1,6.87640913157814e-05
0.25,-0.2,-0.02,0.675,-0.3,1,6.431947880308067e-05
0.25,-0.2,-0.02,0.675,0.0,1,7.053515229155701e-05
0.25,-0.2,-0.02,0.675,0.3,1,7.453967313685779e-05
0.25,-0.2,-0.02,0.675,0.6,1,5.2375826278406427e-05
0.25,-0.2,-0.02,0.9,-0.6,1,7.094135983676325e-05
0.25,-0.2,-0.02,0.9,-0.3,1,7.588051964085683e-05
0.25,-0.2,-0.02,0.9,0.0,1,9.919397305672261e-05
0.25,-0.2,-0.02,0.9,0.3,1,5.651216112268485e-05
0.25,-0.2,-0.02,0.9,0.6,1,7.707534043203719e-05
0.25,-0.2,-0.02,1.2,-0.6,1,9.081491357392585e-05
0.25,-0.2,-0.02,1.2,-0.3,1,5.538026670196378e-05
0.25,-0.2,-0.02,1.2,0.0,1,7.689315962694455e-05
0.25,-0.2,-0.02,1.2,0.3,1,5.136603962773465e-05
0.25,-0.2,-0.02,1.2,0.6,1,7.367454758758308e-05
0.25,-0.2,-0.02,1.57,-0.6,1,6.626408586658003e-05
0.25,-0.2,-0.02,1.57,-0.3,1,5.861743179267455e-05
0.25,-0.2,-0.02,1.57,0.0,1,7.963674154235738e-05
0.25,-0.2,-0.02,1.57,0.3,1,5.0528552726240036e-05
0.25,-0.2,-0.02,1.57,0.6,1,6.100469265779586e-05
0.25,-0.2,0.02,0.0,-0.6,0,0.5522198583349769
0.25,-0.2,0.02,0.0,-0.3,0,0.3381708251697737
0.25,-0.2,0.02,0.0,0.0,0,0.2195037024083843
0.25,-0.2,0.02,0.0,0.3,0,0.0031331929617385737
0.25,-0.2,0.02,0.0,0.6,0,0.14071215602079468
0.25,-0.2,0.02,0.225,-0.6,0,0.13445596538176494
0.25,-0.2,0.02,0.225,-0.3,0,0.42383890802272045
0.25,-0.2,0.02,0.225,0.0,1,7.730348056303262e-05
0.25,-0.2,0.02,0.225,0.3,1,9.521068330602334e-05
0.25,-0.2,0.02,0.225,0.6,1,7.822611360940557e-05
0.25,-0.2,0.02,0.45,-0.6,1,7.429890426371457e-05
0.25,-0.2,0.02,0.45,-0.3,1,6.465220353290948e-05
0.25,-0.2,0.02,0.45,0.0,1,9.479779097824916e-05
0.25,-0.2,0.02,0.45,0.3,1,9.526942388538996e-05
