lx,ly,lz,x,roll,pitch,geom_ok,geom_fail,reach,pad_xy_err_mm,fwd_insertion_mm,pad_in_body_z,straddle,knock_mm,appr_down
0.03,0.03,0.04,0.3,0.0,0.0,False,UNREACH,False,59.2,-44.2,False,True,121.7,0.079
0.03,0.03,0.04,0.34,0.0,0.0,False,UNREACH,False,60.8,-5.8,False,True,120.6,0.084
0.03,0.03,0.04,0.38,0.0,0.0,False,KNOCK,True,87.5,7.5,False,True,92.1,0.078
0.03,0.03,0.04,0.42,0.0,0.0,False,KNOCK,True,126.8,8.2,False,True,52.3,0.069
0.04,0.04,0.04,0.3,0.0,0.0,False,UNREACH,False,59.2,-39.2,False,True,121.7,0.079
0.04,0.04,0.04,0.34,0.0,0.0,False,UNREACH,False,60.8,-0.8,False,True,120.6,0.084
0.04,0.04,0.04,0.38,0.0,0.0,False,KNOCK,True,87.5,12.5,False,True,92.1,0.078
0.04,0.04,0.04,0.42,0.0,0.0,False,KNOCK,True,126.8,13.2,False,True,52.3,0.069
0.05,0.05,0.04,0.3,0.0,0.0,False,UNREACH,False,59.2,-34.2,False,True,121.7,0.079
0.05,0.05,0.04,0.34,0.0,0.0,False,UNREACH,False,60.8,4.2,False,True,120.6,0.084
0.05,0.05,0.04,0.38,0.0,0.0,False,KNOCK,True,87.5,17.5,False,True,92.1,0.078
0.05,0.05,0.04,0.42,0.0,0.0,False,KNOCK,True,126.8,18.2,False,True,52.3,0.069
0.03,0.03,0.05,0.3,0.0,0.0,False,UNREACH,False,57.2,-42.2,True,True,123.8,0.067
0.03,0.03,0.05,0.34,0.0,0.0,False,UNREACH,False,59.0,-4.0,True,True,121.7,0.067
0.03,0.03,0.05,0.38,0.0,0.0,False,KNOCK,True,85.9,9.1,True,True,94.0,0.06
0.03,0.03,0.05,0.42,0.0,0.0,False,KNOCK,True,125.2,9.8,True,True,56.6,0.05
0.04,0.04,0.05,0.3,0.0,0.0,False,UNREACH,False,57.2,-37.2,True,True,123.8,0.067
0.04,0.04,0.05,0.34,0.0,0.0,False,UNREACH,False,59.0,1.0,True,True,121.7,0.067
0.04,0.04,0.05,0.38,0.0,0.0,False,KNOCK,True,85.9,14.1,True,True,94.0,0.06
0.04,0.04,0.05,0.42,0.0,0.0,False,KNOCK,True,125.2,14.8,True,True,56.6,0.05
0.05,0.05,0.05,0.3,0.0,0.0,False,UNREACH,False,57.2,-32.2,True,True,123.8,0.067
0.05,0.05,0.05,0.34,0.0,0.0,False,UNREACH,False,59.0,6.0,True,True,121.7,0.067
0.05,0.05,0.05,0.38,0.0,0.0,False,KNOCK,True,85.9,19.1,True,True,94.0,0.06
0.05,0.05,0.05,0.42,0.0,0.0,False,KNOCK,True,125.2,19.8,True,True,56.6,0.05
0.03,0.03,0.06,0.3,0.0,0.0,False,UNREACH,False,55.4,-40.4,True,True,125.1,0.047
0.03,0.03,0.06,0.34,0.0,0.0,False,UNREACH,False,57.2,-2.2,True,True,123.5,0.047
0.03,0.03,0.06,0.38,0.0,0.0,False,KNOCK,True,84.3,10.7,True,True,96.5,0.043
0.03,0.03,0.06,0.42,0.0,0.0,False,KNOCK,True,124.0,11.0,True,True,62.6,0.038
0.04,0.04,0.06,0.3,0.0,0.0,False,UNREACH,False,55.4,-35.4,True,True,125.1,0.047
0.04,0.04,0.06,0.34,0.0,0.0,False,UNREACH,False,57.2,2.8,True,True,123.5,0.047
0.04,0.04,0.06,0.38,0.0,0.0,False,KNOCK,True,84.3,15.7,True,True,96.5,0.043
0.04,0.04,0.06,0.42,0.0,0.0,False,KNOCK,True,124.0,16.0,True,True,62.6,0.038
0.05,0.05,0.06,0.3,0.0,0.0,False,UNREACH,False,55.4,-30.4,True,True,125.1,0.047
0.05,0.05,0.06,0.34,0.0,0.0,False,UNREACH,False,57.2,7.8,True,True,123.5,0.047
0.05,0.05,0.06,0.38,0.0,0.0,False,KNOCK,True,84.3,20.7,True,True,96.5,0.043
0.05,0.05,0.06,0.42,0.0,0.0,False,KNOCK,True,124.0,21.0,True,True,62.6,0.038
0.03,0.03,0.08,0.3,0.0,0.0,False,UNREACH,False,38.0,-23.0,True,True,171.0,-0.007
0.03,0.03,0.08,0.34,0.0,0.0,False,KNOCK,True,39.8,15.2,True,True,137.6,-0.007
0.03,0.03,0.08,0.38,0.0,0.0,False,KNOCK,True,79.8,15.2,True,True,99.5,-0.007
0.03,0.03,0.08,0.42,0.0,0.0,False,KNOCK,True,120.3,14.7,True,True,56.8,-0.003
0.04,0.04,0.08,0.3,0.0,0.0,False,UNREACH,False,38.0,-18.0,True,True,171.0,-0.007
0.04,0.04,0.08,0.34,0.0,0.0,False,KNOCK,True,39.8,20.2,True,True,137.6,-0.007
0.04,0.04,0.08,0.38,0.0,0.0,False,KNOCK,True,79.8,20.2,True,True,99.5,-0.007
0.04,0.04,0.08,0.42,0.0,0.0,False,KNOCK,True,120.3,19.7,True,True,56.8,-0.003
0.05,0.05,0.08,0.3,0.0,0.0,False,UNREACH,False,38.0,-13.0,True,True,171.0,-0.007
0.05,0.05,0.08,0.34,0.0,0.0,False,KNOCK,True,39.8,25.2,True,True,137.6,-0.007
0.05,0.05,0.08,0.38,0.0,0.0,False,KNOCK,True,79.8,25.2,True,True,99.5,-0.007
0.05,0.05,0.08,0.42,0.0,0.0,False,KNOCK,True,120.3,24.7,True,True,56.8,-0.003
