lx,ly,lz,x,pitch,geom_ok,geom_fail,reach,pad_xy_err_mm,insertion_mm,knock_mm
0.03,0.03,0.05,0.3,1.4,False,PAD_OFF,True,64.7,-79.6,0.0
0.03,0.03,0.05,0.34,1.4,False,PAD_OFF,True,43.0,-83.0,0.0
0.03,0.03,0.05,0.38,1.4,False,PAD_OFF,True,18.4,-82.3,3.3
0.03,0.03,0.05,0.42,1.4,False,KNOCK,True,30.4,-76.1,39.8
0.04,0.04,0.05,0.3,1.4,False,PAD_OFF,True,64.7,-79.6,0.0
0.04,0.04,0.05,0.34,1.4,False,PAD_OFF,True,43.0,-83.0,0.0
0.04,0.04,0.05,0.38,1.4,False,PAD_OFF,True,18.4,-82.3,3.3
0.04,0.04,0.05,0.42,1.4,False,KNOCK,True,30.4,-76.1,39.8
0.05,0.05,0.05,0.3,1.4,False,PAD_OFF,True,64.7,-79.6,0.0
0.05,0.05,0.05,0.34,1.4,False,PAD_OFF,True,43.0,-83.0,0.0
0.05,0.05,0.05,0.38,1.4,False,PAD_OFF,True,18.4,-82.3,3.3
0.05,0.05,0.05,0.42,1.4,False,KNOCK,True,30.4,-76.1,39.8
0.03,0.03,0.08,0.3,1.2,False,KNOCK,True,104.3,-47.9,109.4
0.03,0.03,0.08,0.34,1.2,False,KNOCK,True,74.6,-62.6,63.5
0.03,0.03,0.08,0.38,1.2,False,KNOCK,True,48.0,-73.4,47.3
0.03,0.03,0.08,0.42,1.2,False,KNOCK,True,39.5,-75.7,76.0
0.04,0.04,0.08,0.3,1.2,False,KNOCK,True,104.3,-47.9,109.4
0.04,0.04,0.08,0.34,1.2,False,KNOCK,True,74.6,-62.6,63.5
0.04,0.04,0.08,0.38,1.2,False,KNOCK,True,48.0,-73.4,47.3
0.04,0.04,0.08,0.42,1.2,False,KNOCK,True,39.5,-75.7,76.0
0.05,0.05,0.08,0.3,1.2,False,KNOCK,True,104.3,-47.9,109.4
0.05,0.05,0.08,0.34,1.2,False,KNOCK,True,74.6,-62.6,63.5
0.05,0.05,0.08,0.38,1.2,False,KNOCK,True,48.0,-73.4,47.3
0.05,0.05,0.08,0.42,1.2,False,KNOCK,True,39.5,-75.7,76.0
