lx,ly,lz,x,y,yaw_deg,method,jaw_width,reachable,status,lifted_mm,disp_xy_mm,finger_L,finger_R
0.04,0.06,0.05,0.36,0.0,0.0,top_face,0.0347,True,SLIPPED,0.1,0.1,0.03,0.03
0.04,0.06,0.05,0.36,0.0,30.0,top_face,0.0347,True,SLIPPED,0.1,0.1,0.03,0.03
0.04,0.06,0.05,0.42,0.0,0.0,top_face,0.0347,True,SLIPPED,0.1,0.1,0.03,0.03
0.04,0.06,0.05,0.42,0.0,30.0,top_face,0.0347,True,SLIPPED,0.1,0.1,0.03,0.03
0.04,0.06,0.07,0.36,0.0,0.0,top_face,0.0347,True,SLIPPED,0.0,0.1,0.03,0.0299
0.04,0.06,0.07,0.36,0.0,30.0,top_face,0.0347,True,SLIPPED,0.0,0.1,0.03,0.0299
0.04,0.06,0.07,0.42,0.0,0.0,top_face,0.0347,True,SLIPPED,0.0,0.1,0.03,0.0299
0.04,0.06,0.07,0.42,0.0,30.0,top_face,0.0347,True,SLIPPED,0.0,0.1,0.03,0.0299
0.05,0.07,0.05,0.36,0.0,0.0,top_face,0.0347,True,SLIPPED,0.1,0.1,0.03,0.03
0.05,0.07,0.05,0.36,0.0,30.0,top_face,0.0347,True,SLIPPED,0.1,0.1,0.03,0.03
0.05,0.07,0.05,0.42,0.0,0.0,top_face,0.0347,True,SLIPPED,0.1,0.1,0.03,0.03
0.05,0.07,0.05,0.42,0.0,30.0,top_face,0.0347,True,SLIPPED,0.1,0.1,0.03,0.03
0.05,0.07,0.07,0.36,0.0,0.0,top_face,0.0347,True,SLIPPED,0.0,0.1,0.03,0.0299
0.05,0.07,0.07,0.36,0.0,30.0,top_face,0.0347,True,SLIPPED,0.0,0.1,0.03,0.0299
0.05,0.07,0.07,0.42,0.0,0.0,top_face,0.0347,True,SLIPPED,0.0,0.1,0.03,0.0299
0.05,0.07,0.07,0.42,0.0,30.0,top_face,0.0347,True,SLIPPED,0.0,0.1,0.03,0.0299
0.06,0.08,0.05,0.36,0.0,0.0,top_face,0.0347,True,SLIPPED,0.1,0.1,0.03,0.03
0.06,0.08,0.05,0.36,0.0,30.0,top_face,0.0347,True,SLIPPED,0.1,0.1,0.03,0.03
0.06,0.08,0.05,0.42,0.0,0.0,top_face,0.0347,True,SLIPPED,0.1,0.1,0.03,0.03
0.06,0.08,0.05,0.42,0.0,30.0,top_face,0.0347,True,SLIPPED,0.1,0.1,0.03,0.03
0.06,0.08,0.07,0.36,0.0,0.0,top_face,0.0347,True,SLIPPED,0.0,0.1,0.0301,0.0299
0.06,0.08,0.07,0.36,0.0,30.0,top_face,0.0347,True,SLIPPED,0.0,0.1,0.0301,0.0299
0.06,0.08,0.07,0.42,0.0,0.0,top_face,0.0347,True,SLIPPED,0.0,0.1,0.0301,0.0299
0.06,0.08,0.07,0.42,0.0,30.0,top_face,0.0347,True,SLIPPED,0.0,0.1,0.0301,0.0299
